ProgramId,Owner,ProgramDataAddress,Authority,LastDeployedInSlot,DataLength,Balance
4ECs71dPNeteUSNL4UYDWQJAKwzwy9immosoFH1JcY4u,BPFLoaderUpgradeab1e11111111111111111111111,CFFPkUrvXBS2enzUHGXibMJmpLqxoKEjKt864p89S51Z,Ai5ZrhuwvDiLubv7gNpVS1v9qrKo5kxfARZGtKagkvH9,101905940,389440 (0x5f140) bytes,2.71170648 SOL
9KEPoZmtHUrBbhWN1v1KWLMkkvwY6WLtAVUCPRtRjP4z,BPFLoaderUpgradeab1e11111111111111111111111,G4Cf8MQtyueoLFDxV9BtzyrtXRetmA14JiFj6cqfAodr,G1Y1oLPnHnndErCydT1GVGLiMuB51THQiRfrDVCH4Hsx,102174157,379712 (0x5cb40) bytes,2.6439996 SOL
GJjzaaVeYxxyFUsSKeWuP7BjVqn4Pp3TB38drDwd9M4M,BPFLoaderUpgradeab1e11111111111111111111111,DPzEQ7zPnw5Qw4M9iwsieNmFo6nGTxLWgJRrw3E6zPU8,EJxKYdHRZTTAD9fJcC3FePmcQ9WiYDTGqwZe3CcnLRR4,106522914,200000 (0x30d40) bytes,1.39320408 SOL
6iA8L9KrBk5BXpRzVFLNDmXHg7q4w3JmTkTDotq5W3PQ,BPFLoader2111111111111111111111111111111111,n/a,n/a,n/a,414344 (0x65288) bytes,n/a
82yxjeMsvaURa4MbZZ7WZZHfobirZYkH1zF8fmeGtyaQ,BPFLoaderUpgradeab1e11111111111111111111111,93dBKVunij6iKjnrskLh1rgJSJMp4ZfMTXETRTNtuD98,8DzsCSvbvBDYxGB4ytNF698zi6Dyo9dUBVRNjZQFHSUt,90459334,562848 (0x896a0) bytes,3.91862616 SOL
22Y43yTVxuUkoRKdm9thyRhQ3SdgQS7c7kB6UNCiaczD,BPFLoaderUpgradeab1e11111111111111111111111,EKa52U93bEVLsuz7WUVyJ3xrr84umnqa33oYojkUZFpX,Es3mncmNkbTMNVo4ydjfuSNbK8A3y3oZRxTYeTdRSs8,90863314,644128 (0x9d420) bytes,4.48433496 SOL
BBbD1WSjbHKfyE3TSFWF6vx1JV51c8msKSQy4ess6pXp,BPFLoaderUpgradeab1e11111111111111111111111,Ez63duW9GCZ1MQ2qMRTxBfvTVpyuqG9KtP1sPvMAqSgT,2SkcSqVvgg6kbyWs1UEyXzfZEu1Uo3y1mzGsgJykGThg,105851209,674272 (0xa49e0) bytes,4.6941372 SOL
AMM55ShdkoGRB5jVYPjWziwk8m5MpwyDgsMWHaMSQWH6,BPFLoaderUpgradeab1e11111111111111111111111,JB8ZTsvtynsHA3swffp8omak2Z5RcnbpxqPaZ121gtzD,8gXLUDHme93x8Ypiv8vyRVAtVXHNvXssbJs2nV7Np2J7,107031799,1184816 (0x121430) bytes,8.24752344 SOL
7vxeyaXGLqcp66fFShqUdHxdacp4k4kwUpRSSeoZLCZ4,BPFLoaderUpgradeab1e11111111111111111111111,5KW2RMYEAwr38GXNMa3PPe22sa2rbFjb9DFjCgegiT4H,2SZPmP91s1beN2MHwn7zhkfbBEGCgdVFvPB2rA9T9o3Z,106329654,1524720 (0x1743f0) bytes,10.61325528 SOL
6UeJYTLU1adaoHWeApWsoj1xNEDbWA2RhM2DLc8CrDDi,BPFLoaderUpgradeab1e11111111111111111111111,6hEEH2rRMZNzQ6o5hJ5whPquzVSyFDVjNiHJgqDWwA7G,6L2QoTpr8WUd76eLAGnvow8i3WQzRP36C1qdUna9iwMn,106044869,1863216 (0x1c6e30) bytes,12.96918744 SOL
DmzAmomATKpNp2rCBfYLS7CSwQqeQTsgRYJA1oSSAJaP,BPFLoaderUpgradeab1e11111111111111111111111,GLBmZWvvRB9qCX4QVe1iyydTxo25Zg1T9DMZvmk1H5jG,7MBLg6oV5phip11YBbJPuq7u38kdzSi9PM3BifKSpLaR,107479802,1985280 (0x1e4b00) bytes,13.81875288 SOL
EzSXQ2BXf8m4y4jcQQGeZ6nnwXB3ARXP3YQ5SwjKLj82,BPFLoaderUpgradeab1e11111111111111111111111,2NgZHjALubPwDnpRqFixghnaqSH1ZRQcwqTCyMuaLk1N,2SZPmP91s1beN2MHwn7zhkfbBEGCgdVFvPB2rA9T9o3Z,103310426,1374624 (0x14f9a0) bytes,9.56858712 SOL
DtmE9D2CSB4L5D6A15mraeEjrGMm6auWVzgaD8hK2tZM,BPFLoaderUpgradeab1e11111111111111111111111,4tacGjTExC28MiAMnYD4X3pe3LzR9xovLevTk2kjQF1w,9NdtCkyRRaQb1htvjDf3mhHPk8Vz5g2PFXR9YHaFS423,102928097,9000000 (0x895440) bytes,62.64120408 SOL
